timestamp tx ty tz qx qy qz qw
1683460097.2671845 1.7636 4.1039 0.8117 0.0 0.0 0.0 0.0
1683460097.555668 1.8418 4.1612 0.8081 0.0 0.0 0.0 0.0
1683460097.7636335 1.9125 4.2212 0.8067 0.0 0.0 0.0 0.0
1683460098.0326917 1.9883 4.3144 0.8011 0.0 0.0 0.0 0.0
1683460098.4327269 2.0712 4.405 0.7959 0.0 0.0 0.0 0.0
1683460098.7525444 2.1313 4.4746 0.7948 0.0 0.0 0.0 0.0
1683460099.0437057 2.2187 4.5882 0.797 0.0 0.0 0.0 0.0
1683460099.2996402 2.2891 4.6903 0.7974 0.0 0.0 0.0 0.0
1683460099.6516256 2.3404 4.7797 0.7935 0.0 0.0 0.0 0.0
1683460099.907534 2.3749 4.8402 0.7918 0.0 0.0 0.0 0.0
1683460100.2910244 2.5246 5.084 0.7913 0.0 0.0 0.0 0.0
1683460100.5789618 2.5475 5.1256 0.7883 0.0 0.0 0.0 0.0
1683460100.8029425 2.6145 5.2379 0.7845 0.0 0.0 0.0 0.0
1683460101.1708183 2.6651 5.3316 0.7792 0.0 0.0 0.0 0.0
1683460101.506328 2.7072 5.3982 0.7781 0.0 0.0 0.0 0.0
1683460101.74622 2.7964 5.536 0.7824 0.0 0.0 0.0 0.0
1683460101.9541554 2.8418 5.6075 0.7823 0.0 0.0 0.0 0.0
1683460102.2906363 2.9041 5.6797 0.7858 0.0 0.0 0.0 0.0
1683460102.530524 2.9927 5.7548 0.7781 0.0 0.0 0.0 0.0
1683460102.8185196 3.0592 5.7953 0.7792 0.0 0.0 0.0 0.0
1683460103.2184317 3.2294 5.8473 0.7864 0.0 0.0 0.0 0.0
1683460103.426977 3.3474 5.8681 0.7821 0.0 0.0 0.0 0.0
1683460103.6669216 3.4419 5.8551 0.78 0.0 0.0 0.0 0.0
1683460103.954875 3.5297 5.8247 0.7795 0.0 0.0 0.0 0.0
1683460104.2588162 3.634 5.7541 0.7773 0.0 0.0 0.0 0.0
1683460104.514687 3.6826 5.6897 0.7771 0.0 0.0 0.0 0.0
1683460104.834623 3.7344 5.5731 0.7737 0.0 0.0 0.0 0.0
1683460105.1225677 3.7562 5.4903 0.7768 0.0 0.0 0.0 0.0
1683460105.3464952 3.769 5.3547 0.779 0.0 0.0 0.0 0.0
1683460105.6629496 3.7719 5.2825 0.7795 0.0 0.0 0.0 0.0
